,time,code,close,日内收益率,volume,turnover_ratio,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,roe,net_profit_margin,inc_net_profit_year_on_year,net_operate_cash_flow,circulating_market_cap,1M,3M,5M,10M
0,2025-01-02,000001.XSHE,10.85,-0.026032315978456094,-2.2569704654781106,-2.1120749019656726,-1.5657871820145048,-0.06330184654179583,-0.07455663748583394,-1.3548030553615873,1.5044599266203549,1.638136210349955,0.9776933365108452,-0.9446573348440946,1.7311939331169488,-0.0036866359447004227,0.007373271889400845,-0.0027649769585252892,0.012903225806451646
1,2025-01-02,000002.XSHE,7.11,-0.019310344827586163,0.5315644725643426,0.36543231441634805,0.4870443419633807,0.9495276981269375,1.4950567832685657,0.2175624556010133,0.8026710395671283,0.23643997018215152,0.6580785827478698,1.5568201472266165,-0.6932550338006523,-0.015471167369901617,-0.008438818565400963,-0.02250351617440227,-0.03234880450070332
2,2025-01-02,000063.XSHE,36.019999999999996,-0.06084322140873508,-0.7852436926223713,-0.8113836133651118,-1.0223906021380058,-1.1394332377523249,-0.7024020057875938,-0.8877637946796266,0.7149474286854749,1.2838613364613893,0.2647065781165155,-0.049718807097057616,0.7067116559607045,-0.029428095502498475,-0.03525818989450291,0.0,0.0
3,2025-01-02,000100.XSHE,4.9,-0.016064257028112462,-0.010650654277245495,-0.1920068092696066,-0.2978618289693403,-0.8862258515851417,-0.2315179795612739,-0.7009480904068425,-0.4693213182168454,0.1671253209430843,-0.653161432689978,-0.44746926387351854,-0.3502804812982591,-0.014285714285714346,0.024489795918367196,-0.010204081632653184,0.0
4,2025-01-02,000157.XSHE,6.58,-0.029498525073746337,0.9188609917369056,0.9848091185118533,1.2316989143867314,1.0128295446687332,0.396327388740486,1.011529198760346,0.05702034707307468,-0.9188041838023021,0.3302685788884079,0.5375846017369355,-1.0210958142839157,0.003039513677811412,-0.006079027355623157,-0.019756838905775065,0.04863221884498481
5,2025-01-02,000166.XSHE,4.98,-0.05323193916349798,-0.5528657811188337,-0.5636328917269097,-0.3783650259880809,-0.5064147723343666,-0.7024020057875938,-0.5413763430071725,0.7588092341263015,0.7139408871623923,0.9203265858354394,-0.14915642129117285,0.058711175736720224,-0.016064257028112428,-0.006024096385542244,-0.026104417670682833,0.0
6,2025-01-02,000301.XSHE,8.0,-0.026763990267639978,0.8801313398196493,0.9693246984094656,1.03044092183988,0.2532073861671833,0.9849324215233859,1.136073001608869,-0.8640775671842855,-1.1806595253721117,0.1335825765727307,1.0813840543610032,-1.1134131788787573,0.03249999999999997,0.07499999999999996,0.05499999999999994,0.05875000000000008
7,2025-01-02,000333.XSHE,36.019999999999996,-0.0009794319294808057,-0.06874513215312994,-0.1920068092696066,-0.9418874051192652,-1.3926406239195084,-0.7024020057875938,-0.8566278439674959,-1.916760897764126,-0.11783490370641425,-2.029963448899718,-1.7401582483970164,1.7311939331169488,0.0,0.0,0.0,0.0
8,2025-01-02,000338.XSHE,12.9,-0.014514896867838006,0.37664586489531743,0.4273699948258986,0.2254089516524737,0.12660369308359165,-1.6441700582402337,0.4666500612980589,-0.6009067345393254,-0.6261423314595739,-1.2596099398299825,-0.6152702378260879,-0.7221808524707886,-0.0007751937984495916,0.016279069767441756,0.08294573643410863,0.07674418604651168
9,2025-01-02,000408.XSHE,26.31,-0.01644859813084117,0.967273056633476,1.1241688994333419,1.2316989143867314,1.6458480100866917,1.181134099117686,1.5097044101544375,0.013158541632247996,-1.196062780758571,0.6580785827478698,0.770641510004393,-1.1278407003954742,-0.003800836183960432,0.02546560243253526,0.08171797795515023,0.08171797795515023
10,2025-01-03,000001.XSHE,10.81,-0.004604051565377435,-1.24728276093045,-1.7985953958063807,1.0794026187994161,0.7737320469474455,0.32189303801093777,1.1271942967718915,1.6817309811878316,1.2108155059242465,1.3210058267329425,1.0409616035007958,1.7311939331169488,0.0046253469010175685,0.010175763182238562,-0.007400555041628176,0.005550416281220993
11,2025-01-03,000002.XSHE,7.0,-0.023709902370990226,1.24728276093045,1.7611246583937479,0.6151434279179467,-0.5916774476656936,-0.30789768853220134,-0.22158520363891898,-0.20873944262987137,-0.43460586106291266,0.13525860291762654,0.40063324871576683,-0.7111390165537695,-0.0028571428571427804,-0.005714285714285672,-0.04428571428571426,-0.052857142857142825
12,2025-01-03,000063.XSHE,34.96,-0.06798187150093302,0.3401680257083045,0.6370025360147599,0.8472730233586814,0.5786735477169971,0.8817070171603947,-1.3251320676114002,0.6577261682865757,1.0319653573386856,0.707277364155166,0.16436235844749408,0.5530731419625644,-0.023741418764302025,-0.02145308924485123,0.03032036613272293,0.03032036613272293
