datetime,symbol,open,high,low,close,volume
2026-04-24,USDS/USDT,0.9998,1.0,0.9993,0.9995,135092.273
2026-04-25,USDS/USDT,0.9995,0.9998,0.9995,0.9995,9017.585
2026-04-26,USDS/USDT,0.9995,0.9999,0.9995,0.9998,25873.185
2026-04-27,USDS/USDT,0.9995,1.0,0.9995,0.9995,120401.89
2026-04-28,USDS/USDT,0.9995,1.0,0.9993,0.9995,108684.592
2026-04-29,USDS/USDT,1.0,1.0,0.9995,0.9996,18922.167
2026-04-30,USDS/USDT,0.9996,1.0,0.9984,0.9996,20557.046
2026-05-01,USDS/USDT,1.0,1.0,0.9993,0.9996,73594.358
2026-05-02,USDS/USDT,0.9996,1.0,0.9995,0.9995,26958.497
2026-05-03,USDS/USDT,0.9999,0.9999,0.9995,0.9999,16000.754
2026-05-04,USDS/USDT,0.9996,1.0,0.9996,0.9996,6880.238
2026-05-05,USDS/USDT,1.0,1.0,0.9994,0.9995,3668.34
2026-05-06,USDS/USDT,1.0,1.0,0.9995,1.0,46472.476
2026-05-07,USDS/USDT,0.9997,1.0,0.9997,0.9997,15989.576
2026-05-08,USDS/USDT,0.9997,1.0,0.9997,0.9998,15966.485
2026-05-09,USDS/USDT,1.0,1.0,0.9998,0.9999,8199.803
2026-05-10,USDS/USDT,1.0,1.0,0.9998,0.9998,5520.799
2026-05-11,USDS/USDT,1.0,1.0,0.9998,0.9999,27116.883
2026-05-12,USDS/USDT,0.9999,1.0002,0.9999,1.0,17159.739
2026-05-13,USDS/USDT,1.0,1.0004,1.0,1.0002,6108.674
2026-05-14,USDS/USDT,1.0002,1.0006,1.0,1.0001,28696.968
2026-05-15,USDS/USDT,1.0001,1.0003,1.0,1.0001,30825.906
2026-05-16,USDS/USDT,1.0001,1.0003,1.0,1.0001,20049.623
2026-05-17,USDS/USDT,1.0001,1.0003,1.0,1.0003,21509.79
2026-05-18,USDS/USDT,0.9999,1.0002,0.9999,1.0002,19648.833
2026-05-19,USDS/USDT,1.0002,1.0004,1.0001,1.0004,6767.441
2026-05-20,USDS/USDT,1.0001,1.0005,1.0,1.0001,18312.736
2026-05-21,USDS/USDT,1.0005,1.0008,1.0,1.0006,61015.582
2026-05-22,USDS/USDT,1.0004,1.001,1.0004,1.0004,403634.668
2026-05-23,USDS/USDT,1.0004,1.0006,1.0004,1.0006,2835.682
