datetime,symbol,open,high,low,close,volume
2026-04-24,DOGE/USDT,0.09711,0.09951,0.09682,0.09843,467944275.213798
2026-04-25,DOGE/USDT,0.09842,0.09908,0.09738,0.098,235013935.245851
2026-04-26,DOGE/USDT,0.098,0.09991,0.09748,0.09922,306818166.347845
2026-04-27,DOGE/USDT,0.09923,0.10083,0.0968,0.09894,484233224.295644
2026-04-28,DOGE/USDT,0.09893,0.10099,0.09808,0.09934,500718803.324755
2026-04-29,DOGE/USDT,0.09935,0.1122,0.09924,0.10409,1629207083.449314
2026-04-30,DOGE/USDT,0.1041,0.1084,0.10396,0.10651,651329537.295469
2026-05-01,DOGE/USDT,0.1065,0.11054,0.10641,0.10854,691088555.551833
2026-05-02,DOGE/USDT,0.10854,0.10935,0.10717,0.10854,247450056.433332
2026-05-03,DOGE/USDT,0.10852,0.10965,0.10714,0.10828,238355967.084055
2026-05-04,DOGE/USDT,0.1083,0.11376,0.10768,0.11009,727086983.090104
2026-05-05,DOGE/USDT,0.11013,0.1165,0.10999,0.11485,463263554.270246
2026-05-06,DOGE/USDT,0.11485,0.11707,0.11144,0.11249,651840121.902129
2026-05-07,DOGE/USDT,0.11248,0.11253,0.10675,0.10787,515168790.429294
2026-05-08,DOGE/USDT,0.10787,0.10968,0.10562,0.10953,354180034.251341
2026-05-09,DOGE/USDT,0.10953,0.11137,0.1081,0.10875,286656434.066024
2026-05-10,DOGE/USDT,0.10873,0.11285,0.10642,0.11246,531193052.138561
2026-05-11,DOGE/USDT,0.11246,0.11272,0.10834,0.1113,418609304.046841
2026-05-12,DOGE/USDT,0.1113,0.11161,0.10752,0.11015,388741109.596071
2026-05-13,DOGE/USDT,0.11013,0.11473,0.10963,0.11265,604808051.640044
2026-05-14,DOGE/USDT,0.11266,0.11863,0.112,0.11544,737431382.537476
2026-05-15,DOGE/USDT,0.11545,0.11746,0.11078,0.11335,532067772.579957
2026-05-16,DOGE/USDT,0.11334,0.11348,0.10782,0.10939,325284485.110748
2026-05-17,DOGE/USDT,0.1094,0.11281,0.1055,0.10901,320624558.18341
2026-05-18,DOGE/USDT,0.10901,0.10912,0.10251,0.10478,621762901.149623
2026-05-19,DOGE/USDT,0.1048,0.10552,0.10259,0.10299,250074402.808429
2026-05-20,DOGE/USDT,0.10299,0.10497,0.10189,0.10372,290120481.204306
2026-05-21,DOGE/USDT,0.10372,0.10652,0.10366,0.10569,355394655.68612
2026-05-22,DOGE/USDT,0.1057,0.10678,0.10157,0.10236,276378145.08468
2026-05-23,DOGE/USDT,0.10238,0.10241,0.09703,0.10105,416761264.024693
